[2018-02-23T10:25:04.553] [INFO] default - [::1 GET /lib/custom.js 304 20ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:04.606] [INFO] default - [::1 GET /images/pattern-bg2.png 304 1ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:04.607] [INFO] default - [::1 GET /images/gym-1.jpg 304 2ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:04.608] [INFO] default - [::1 GET /images/kid-notebook-computer-learns-159533.jpeg 304 3ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:04.611] [INFO] default - [::1 GET /images/gym-2.jpg 304 5ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:04.612] [INFO] default - [::1 GET /fonts/iconfont.woff?-8vg322 304 9ms][http://localhost:3000/css/iconfont-style.css HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:04.618] [INFO] default - [::1 GET /images/gym-3.jpg 304 3ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:04.648] [INFO] default - [::1 GET /images/gym-4.jpg 304 2ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:04.651] [INFO] default - [::1 GET /images/bg-map.jpg 304 4ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:04.753] [INFO] default - [::1 GET /images/favicons/favicon.png 200 1ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:19.029] [INFO] default - [::1 GET /applyList 304 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:19.053] [INFO] default - [::1 GET /css/bootstrap.css 304 3ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
